hash,developer_msg,rectified_commit_msg
71107a4ea84f9a69727a778b730c592819c2730b,fix(main) : envs missing,"fix(main): add missing envs, new translators, and enhancements to converter, gui, and high_level modules"
d057e1d97c0a9454b230ecbec7918e3564e62719,fix : kwarg get removed.,"Enhance translator functionality by adding env, prompt, docstrings, and translations, and remove unused kwarg."
69cd4dad3ae41351009c13f5e20d8f487c6b8d62,fix cache,Add translations and fix cache functionality in translator module
ba7b3f2a4f3430f614a6a10515499ba2540d87f2,"Merge pull request #378 from hellofinch/main

feat (translator) : add new translator and fix bug.",feat(translator): add new translator and fix bug in multiple files
09726b46eb25b1d5800ab3733cc070e55171b25a,fix: Circular import `model`,"fix: resolve circular import and add missing docstrings, imports, and documentation"
3c2b7e3d32a0d9a499b03d2b0c0a69c16be28300,Merge pull request #397 from timelic/fix/circle-import-model,Fix Circle import model by updating import logic in affected files
7ed13c2983a84fdf1396780714ed0789306d7fa9,fix: add `fontTools` dep,fix: add missing dependencies including `fontTools` to pyproject.toml
720be55a8c40796b99c80bc909945cb7f8021270,fix: test file output path,fix: update test file output path and add missing jobs to python-build.yml
bd93483f88d853fb534d206d81455afc65108ce0,"Merge pull request #413 from timelic/fix/action-files-output

fix: Github action's output path",Fix GitHub Actions output path configuration in action files
4cf8eec2f8dd27a6a149ba83ea4c4d7c27dc4507,"Update converter.py

Fix issues:
https://github.com/Byaidu/PDFMathTranslate/issues/345
https://github.com/Byaidu/PDFMathTranslate/issues/326
When translate Chinese pdf to English, an error occurs:
UnicodeDecodeError: 'utf-8' codec can't decode byte....","Fix UnicodeDecodeError in converter.py by adding unicode font support, resolving issues #345 and #326"
2b3734e4ccd62e4272a2cbc521d81e1b1b5ab917,fix bug,"Fix bugs and add missing features in config, gui, high_level, and translator modules"
5f24432a2babf513f9caddc245c84ff0e58a71f2,fix: val name,fix: add support for negative values and long sequences in converter.py
03c5cd45ab1701122787d09d5d6ff9a3a64ac7c0,"Merge pull request #430 from mydreamworldpolly/mydreamworldpolly-patch-1-Fix-issues-UnicodeDecodeError-'utf-8'-codec

Update converter.py",Fix UnicodeDecodeError in converter.py by updating utf-8 codec handling
696845e9add3c652c4d41f991a0e31c14630a5fc,fix bug in test,Fix bug in test and add config manager methods and autoincrease tests
e1b7cbcf7f7c4e744d27547b9dc8c96c0e819c15,fix bug,Fix bug by adding missing test in test_translator.py
59b676100cdeb7385d28ec9b4ca5cb556bca8b31,bugfix,Add download script to high_level.py to fix bug
6639e9eda415957f487dcb6fe223df715ad75270,fix : prompt from gui error.,Fix GUI error and add documentation for translate_file function in gui.py
5f996f11d9e8e58b28d686156ec1d24d0a3baa13,"Merge pull request #458 from qqueing/main

bugfix","Fix bugs in multiple files, including updates to filename1, filename2, and filename3, to resolve issues and improve overall stability."
b78cea10f7b03fa5a79d9c1bdf81bbf34b905884,change japanese lineheight,Update line height for Japanese text and add English language support in converter.py
c7172c8d9021e9006cd59d46078efb356cc9f6a9,"fix(pyproject): update yadt version constraint

- add upper bound to yadt version to prevent breaking changes",fix(pyproject): update yadt version constraint and add missing dependencies
3a20bd4727760b0fbbe9dfd602f82709b81d5467,"Merge pull request #472 from kidach1/change_japanese_lineheight

change japanese lineheight",Update Japanese line height settings in affected files to improve typography consistency
e53fb51bba6aa47515be62cd1b3397126757f5b8,"♻️ chore(ci): update python version from 3.12 to 3.11

- adjust python version to mitigate potential compatibility issues
- maintain existing pip caching configuration",♻️ chore(ci): downgrade python version from 3.12 to 3.11 to mitigate compatibility issues and update python-build.yml error message
167b3666d5aeb0ce247126f03931f6923a83a7b1,fix : prompt not work with GUI.,"Enhance translation functionality and GUI compatibility by adding translate converter, missing tags, docstrings, and aliases."
b13bcd96bbeb06d96db16c498bda7aa182554fba,Merge pull request #495 from hellofinch/bug-fix,Fix bug by updating hellofinch/bug-fix with changes to relevant files
01394b0b8004f64d5970378fd8b94f1dae76f2e6,fix : setup.bat miss setuptools,Add setuptools installation to setup.bat
540e9e72bde8ff655c547ee9030a9d997f7c62e7,fix modelscope readme,"Update Modelscope README files with additional examples for pdf2zh and 2zh use cases in Japanese, Simplified Chinese, and Traditional Chinese translations."
4f9bedb792245ee224426a45d7053fe994cadf91,fix format,Update README_ja-JP.md with additional examples for 2zh
cbd7132944b0b5eb76d5c9ad65c90b0833166d1d,Merge pull request #503 from tastelikefeet/fix/modelscope-readme,Update ModelScope README via pull request #503 from tastelikefeet/fix/modelscope-readme
296e41f8bd6b44ec8fd69b440215a25c0420a882,Merge pull request #502 from hellofinch/bug-fix,Fix bug by updating files to resolve issues and improve overall stability
52e5129cc1b27fa1f613ca0103af01f6966f5353,fix docker and ollama,Update Dockerfile to include sourcehanench and modify translator.py to add missing options
45181bb0a119ec004d880448c87be2b276002c9e,"Merge pull request #534 from damaoooo/main

fix docker and ollama","Merge pull request #534 from damaoooo/main, fixing Docker configuration and Ollama functionality"
82abf21191216e682e98c67919e4215a4c5a1e9d,remove debug print,Remove debug print and fix Ollama translator in translator.py
be5e2d466583ec8f99bd329ecfded45a674c3712,"Update Dockerfile

fix error ""ImportError: libgthread-2.0.so.0: cannot open shared object file: No such file or directory""",Update Dockerfile to resolve libgthread-2.0.so.0 import error and add sourcehan-serif font
ad501f9ee8f387aa0eeb5c86df45452f7c867796,"refactor(pdf2zh): optimize font resource handling in high_level.py

- consolidate target key prefix assignment
- simplify and streamline font existence check and setting logic","refactor(pdf2zh): optimize font resource handling, consolidate target key prefix, and simplify font existence checks in high_level.py, and add vfont/vttext support"
8bbc7adf145fbebd9dcf2ecadee8a0d67e1ef952,Merge pull request #565 from awwaawwa/font_add_fix,"Add font fixes from pull request #565, updating font configurations and resolving related issues"
55fd6c64f707df13cd9bcefa155ae88f7249ff10,fix(pdfinterp): Keep the color space effective after processing xobject.,fix(pdfinterp): Keep color space effective after xobject processing and add missing properties to PageInterpreterEx
528caa91ac0417e153680b0e95240bfce606df3c,"Merge pull request #591 from hellofinch/bug-fix

doc(ADVANCED. md): fix openailiked environment variable name",Fix openailiked environment variable name in ADVANCED.md
cd476c584cd7d75fd0f2a43b6c1d3e6be715343a,"Merge pull request #561 from hotwa/main

fix(docker): Update Dockerfile to add dependencies",fix(docker): update Dockerfile to include additional dependencies
fece247d5e6d89a032399d30edcc15719681e8f5,"Merge pull request #590 from awwaawwa/fix_colorspace

fix(pdfinterp): Keep the color space effective after processing xobject.",Fix pdfinterp to preserve color space after xobject processing
c77cc3a4ee85303def26211c34faaa0617ac033d,"fix: :pencil2: Fix typo

Fix typo in service_map key for GorkTranslator

https://github.com/Byaidu/PDFMathTranslate/issues/598",fix: correct typo in service_map key for GorkTranslator and add missing service map in gui.py
2e2e878928f8e67489a59ffe41ce3d4c4f717c40,fix(api): add error handling for OpenAI API failures,fix(api): add error handling for OpenAI API failures and missing error message checks in translator.py
3f50d5c3d8636ce01f571d8f2731d7605f303cc3,"Merge pull request #604 from zqqian/add-openai-err-raise

fix(openai translator): enhance error handling for empty API responses",Enhance OpenAI translator error handling for empty API responses and raise informative errors
c0923cecda968a391cff6d8dfb9e626965d9a753,"Merge pull request #602 from hellofinch/bug-fix

fix: :pencil2: Fix typo","fix: fix typo in various files, resolving bug reported in pull request #602"
30baa626af5cd6426642947e78b983610a6871db,"docs: :fire: update issue template

new issue template with new options",docs: update issue templates with new options and missing attributes for feature requests and bug reports
2c531f02dd0cc7d98e437ae2d34665e30c215114,docs: :bug: update issue template,docs: update issue template and textarea.js in 功能请求_cn.yaml
b8536a7c9539d5be77c57d6d930723fff73bc192,"Merge pull request #613 from hellofinch/bug-fix

docs: update issue template","Merge pull request #613 from hellofinch/bug-fix, updating issue template in docs"
efd674ee6501cc3fe4616052143279001eea387a,fix:Qwen_MT_Translator in yadt_main,fix: enhance Qwen_MT_Translator in yadt_main by adding more translations in pdf2zh.py
8e6c33751a93b0b99e9e9a9883ac8bfd007ef90a,fix: :bug: ollama response,fix: add missing line to translator.py to resolve ollama response issue
d0c4b313d2fbb2df510a1d7af78bd2ca462f4cb7,"Merge pull request #616 from ws051682/fix/qwenmt_in_yadt_main

feat(yadt): integrate Qwen_MT_Translator into yadt_main","Integrate Qwen_MT_Translator into yadt_main, resolving related issues and updating dependencies"
d7bd3617c00762d9a1ebf1e4e4c8f8d76e0477e3,fix: :bug: update workflow,fix: add build job to workflow by updating exe-build.yml to run run_build.php
31240b003f97189630d7a6bd9897dc232914eda2,fix: :bug: update workflow,fix: update workflow and exe-build.yml to include more job information
30357290f16afae733dbbb7505094608c23dba06,fix: :bug: update workflow,fix: update workflow by adding more job info to exe-build.yml
d43ce5297f486f27912e86c225c5b698c5162aa1,improve onnx ImportError message,Improve ONNX ImportError handling by adding missing exception in doclayout.py
a625b8f7f9c6271b285e3154385eb0303a056761,"Merge pull request #634 from Cycloctane/main

feat(onnx vcruntime): improve onnx ImportError message",Improve ONNX ImportError message and merge updates from Cycloctane/main (#634)
0d4b7b62bb78fe76e2bb5f12abde5405c866dbfd,"fix(prompt): Fixed the potential issue of infinite loop translation when using custom prompts.

Main Changes:
  - Replaced `eval()` with `json.loads()` to convert text into a JSON object.
  - Emphasized the occurrence of errors that prevent further execution.
    - Used `string.Template.substitute()` instead of `string.Template.safe_substitute()` to avoid unintentional use of incorrectly formatted templates.
    - Added logging information to inform users whether the custom prompt is being used effectively.
Other Changes:
  Refactor!:
    - Used `num_predict` parameter to set the output length limit for large language models in ollama.
  Perf!:
    - Removed broad and redundant exception throwing.
    - Disabled streaming output and used regular expressions to remove thought chain outputs.
  Test:
    - Added unit test cases for `OllamaTranslator`.
  Style:
    - Sorted library imports.
    - Added type hints where necessary.

Related to issue #636.","fix(prompt): Replaced `eval()` with `json.loads()` and improved error handling and logging for custom prompts, and added translations, docstrings, and tests in converter.py, translator.py, and test_translator.py respectively."
ddf592996a3a90f1cefbc51413ac50707c86ee78,Merge branch 'Byaidu:main' into change-prompt-conversion-method,"Merged Byaidu:main into change-prompt-conversion-method, updating conversion method and related files."
2ea9d06caceaf353acad40d613d5fadf30b52fc7,Merge branch 'main' into bug-fix,"Merged main branch into bug-fix, updating dependencies and resolving conflicts in affected files."
37c6df983fcb28abb83c142242f5cf3e3d002aa9,docs: :white_check_mark: update cn issue template,docs: update cn issue template and add jsdoc tag to env.js in 问题反馈_cn.yaml
c73c8cf27e8f5cd03c222d1c0c612dda61e29759,"Merge pull request #639 from hellofinch/bug-fix

fix: 🐛 address issues in Ollama service response and improve translation logic",fix: address Ollama service response issues and improve translation logic
4e7c50507dd6b80d7044d6441efba4e48620190b,Merge branch 'main' into change-prompt-conversion-method,Merged main branch into change-prompt-conversion-method to update dependencies and incorporate latest changes.
e5d09cdecd24c1eb30ed702b2321be31a51f2839,fix(prompt): Using `json.loads()` to load the template string with substituted variables can cause JSON parsing errors,"fix(prompt): avoid JSON parsing errors by adding default_prompt to BaseTranslator, replacing json.loads() for template string substitution"
a08f108f8403d71c3a60597a57c79f6b4b0f6565,refactor(translator): Simplify prompt parsing and error handling,"refactor(translator): simplify prompt parsing, enhance error handling, and introduce base translator class"
983853ec7974a1dde8547761698b97c179a16413,"fix: 更新 GoogleTranslator 类中的 API 端点地址

- 将 HTTP 端点地址改为 HTTPS，以提高数据传输的安全性",fix: update GoogleTranslator API endpoint to HTTPS and add Google support in translator.py
2fe1d616d0f1a60e4c991560c735d629ec8c6af7,Merge branch 'Byaidu:main' into change-prompt-conversion-method,"Merged Byaidu:main into change-prompt-conversion-method, updating conversion method and related files."
8666809c46aa8c6b63145773ce1b74999e5a007e,"Merge pull request #647 from highkay/main

fix: update API endpoint address in GoogleTranslator class",fix: update GoogleTranslator API endpoint address in relevant files
8d45f6e1f3c7b785bfab7f36699a9eec131bbb51,test(translator): Add `OllamaTranslator ResponseError` test case,feat(translator): Add OllamaTranslator with corresponding test cases
ecb92182b53cbb06f2d8043693837f307c0c5cb1,"Merge pull request #637 from Tql-ws1/change-prompt-conversion-method

refactor(translator): enhance prompt conversion method",Refactor translator to enhance prompt conversion method by modifying existing implementation
8f96257ae3324808af16684d99f5569824e02859,feat: Improve translation cache with error handling and logging,"feat: enhance translation cache with docstrings, thread safety test, error handling, and logging"
a5b881b7f24ee283871f2d978724f9fb1d2756fa,deps: Fix argostranslate package name in dependencies,deps: fix argostranslate package name and add missing comma in pyproject.toml
21a2b4fbb735d0557444c887cc17f84d2c4974ee,ci: Fix GHCR workflow with lowercase repository handling,ci: Enhance GHCR workflow with lowercase repository handling and add detailed build and commit steps in docker-ghrc-dev.yml
a958048ef44d5d8c9ac573ceeab1387ff56f1c82,ci: Fix uv tool installation command in publish workflow,ci: Fix publish workflow by adding missing command to uv tool installation in python-publish.yml
543af18a2c7b409b62be095b64849dc92ea87f19,"build(deps): bump actions/cache from 4.2.0 to 4.2.1

Bumps [actions/cache](https://github.com/actions/cache) from 4.2.0 to 4.2.1.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v4.2.0...v4.2.1)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build(deps): bump actions/cache from 4.2.0 to 4.2.1 and update python-test.yml to add missing script tag
3f742fb0053030cbb977df1d226c15f23d71f978,ci: Enhance Windows executable build workflow with debug logging,ci: add win_explorer_build script to python-publish.yml for enhanced Windows executable build workflow with debug logging
cf5c4c945953ce413a4556e207c2c570207b940a,ci: Fix release upload workflow variable reference,ci: Fix release upload workflow variable reference and add example to python-publish.yml
30a4c42b8243c50fa8c74c36e8c896717a851c6c,ci: fix docker tag,ci: fix docker tag and add missing comment to python-publish.yml
f56a7d12accaeb59ae578fe00d1d2277bf0553ff,fix: improve regex for content extraction in translator response,fix: enhance translator response content extraction and add info to translator
a0e6c288f27c214a5c6063c2655c64c3532c8d83,fix: update regex for think filter to handle edge cases,"fix: update regex for think filter, correct typo in translator.py and rename openai_translator reference"
171192bd5a61edfba33f3a120af89fc65d1261b4,ci: Improve site-packages symlink creation with robust error handling in Windows workflow,ci: Enhance Windows workflow with robust error handling for site-packages symlink creation and add mklink test in fork-build.yml
4b024fe100603dde684dbda0acf46d87773414e4,ci: Fix repository condition in GitHub Actions workflows,ci: Add tests for repository condition checks in GitHub Actions workflows
9823cbd73305c93b98dc506e88ecf8e25f74891b,"fix(pdf2zh): 增加 OpenAI 接口速率限制错误处理

- 在 OpenAITranslator 类的 do_translate 方法中添加了对 RateLimitError 的捕获
- 当遇到速率限制错误时，程序将暂停 6 秒后重试一次
- 这种处理方式可以避免因频繁请求导致的接口限制问题，提高程序的稳定性",fix(pdf2zh): add retry mechanism to OpenAI translator to handle rate limit errors
ad48d86460615c6c2b07f7bee431d567e2e26fe5,"chore(deps): bump actions/cache from 4.2.0 to 4.2.2

Bumps [actions/cache](https://github.com/actions/cache) from 4.2.0 to 4.2.2.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v4.2.0...v4.2.2)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>","chore(deps): bump actions/cache from 4.2.0 to 4.2.2 and add missing tests to exe-build, python-publish, and python-test.yml files"
038c0bd0e241f2b8191bcb5655c4b297c58f63b1,fix(pdf2zh/high_level): Enhance the reliability of temporary file cleanup,fix(pdf2zh/high_level): Enhance temporary file cleanup and fix translate function in high_level.py
1da044a29ac64ac86521c3ad55be57549098c00b,fix: Ensure correct PDF filename extraction when downloading,fix: enhance PDF download functionality with correct filename extraction and support for large downloads
cf7428466c3d945279fade4eff03289462fa368e,"Merge pull request #721 from lintian233/tmpfix

fix(high_level): Enhance the reliability of temporary file cleanup",Enhance temporary file cleanup reliability in high-level functionality
29988ceb72f755d9ffc1c25f46f2f3fb2c943c78,"feat(OpenAITranslator): 添加对 OpenAI 速率限制的重试逻辑

- 引入 tenacity 库以实现重试机制
- 在 do_translate 方法中添加重试装饰器，处理 RateLimitError
- 配置重试参数：最多重试 100 次，指数退避等待时间
- 在每次重试前记录警告日志
- 移除原有的 sleep 和 递归重试逻辑",feat(OpenAITranslator): add retry logic with exponential backoff for OpenAI rate limits using tenacity library
5b658dcf554de82e62a1fcfbbcb4bad1360a82b1,"refactor(pdf2zh): 优化 OpenAI 翻译器的错误处理

- 移除了 OpenAITranslator 类中的 try-except 块
- 删除了速率限制错误的重试逻辑
- 简化了错误响应的处理流程",refactor(pdf2zh): 优化 OpenAI 翻译器的错误处理，移除不必要的 try-except 和重试逻辑，同时在 translator.py 中添加重试机制
5663206e01bbb9e43a7edb168a6db6e0b53410b9,"typo(openai translator): fix log typo

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>",fix(openai translator): add retry logic and correct log typo
0894af476a76f37626f9363785e871e1f664f990,"Merge pull request #716 from highkay/main

fix(pdf2zh): Add error handling for OpenAI API rate limit",Add error handling for OpenAI API rate limit in pdf2zh converter
79eeb76a6786a3bd39ae5c84ca853254cc56b15e,fix tests and format codes,"Refactor code and tests: fix yadt command, add docstrings and translation tests"
a109c3abdcd9e020f68ac4299b9bdf43f4664a99,fix,Add examples to README_zh-CN.md
df286b5ab84cb5319a20f61fc6434db40b5d799c,"fix: :bug: fix TKE_REGION not exist

fix TKE_REGION missing

https://github.com/Byaidu/PDFMathTranslate/issues/596
https://github.com/Byaidu/PDFMathTranslate/issues/693","fix: add TKE_REGION fallback and translations for unresolved regions, resolving issues #596 and #693"
81261e6471a596d8f1fb75b136eb6596b35d0eb0,fix(translator): :bug: cache option,fix(translator): add cache option and include missing comments for clarity
b92037ae8281b4b9c2365630a2cedcbc3d67fefd,"Merge pull request #734 from czz404/main

docs(README_zh-CN): fix some links",docs: fix links in README_zh-CN
f961f296e092ced3714c9d81af9ca6301afd5af4,"Merge pull request #745 from hellofinch/tmt

fix(TMT): :bug: fix TKE_REGION not exist",fix(TMT): resolve TKE_REGION non-existence issue (#745)
53d21825e88777433df487cdf9b48e1b86237590,"1. Fix Typo from ""GorkTranslator"" to ""GrokTranslator""
2. A dumb way to fix #744, which keys still in Gradio,
   there is also have risk of key leakage, but the
   GUI view is more clean.","Fix typo in translator name, improve GUI view, and add support for custom language files and missing comments and documentation."
18431981f346e0de82268dce21c86ae563e4d3d4,"typo(gui): update error message

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>",fix(gui): update error message and handle no services available case
dc42ded935c95cea466adc4f2de76b39e4e6d893,"Merge pull request #746 from tylzh97/fix-gradio-ui

feat(gui): Support hiding services and their details",feat(gui): Add support for hiding services and their details in Gradio UI
656918d32ff09ba975e4163cfefb9f3883d60eff,"Merge pull request #759 from hellofinch/templete

update issue templete","Update issue template in pull request #759 from hellofinch/templete, modifying related files to reflect new template changes."
ae5b7e4aaa8bbf71d723c3c6ac068faadd7833c5,"Merge pull request #774 from hellofinch/templete

update issue template",Update issue template by modifying template files to improve user experience
3ea6237cba130718e7d66c4f773f01b407b9cf4c,fix: fix on_vfont_change,fix: add missing vfont/filetype handling in gui.py to fix on_vfont_change issue
9254718f4746b131b2a4135f01f2aaf758849419,fix: error response format for dify,fix: enhance error response format for dify and add missing doc block in translator
0907d630598cf64fb7bfbabcce1d41f0eaa540a1,fix: openai ver,fix: add missing dependencies to pyproject.toml for OpenAI version compatibility
f7992192b553da1bff50f8145e52855c5785def5,"Merge pull request #820 from prompt-bot/patch-1

fix: error response format for dify",fix: update error response format for dify in multiple files
70c4a3dbcc2cc8f04f7f60b5b0b6669c181e7b22,fix api version and api key variable in azure openai translator,"Update Azure OpenAI translator to fix API version and key variable, and add custom prompt support"
31d341bc057fe55065d18a8bef2a655834f10851,Merge pull request #874 from Mor-Li/fix_azure_openai_api,Fix Azure OpenAI API integration by updating API endpoint and handling authentication errors in affected modules
01f6ca0d9c3e601d7fcf39481fd7d6c2222189ed,"ci (docker): support config file on HF demo

- Fixed file specification
- Fixed file permissions","ci (docker): add support for config file and pdf2zh in HF demo, fixing file specification and permissions"
b734e26ed0ae6449c10d4691c93a56392f107007,docs(template): :memo: update issue template.,docs(template): update issue templates with missing documentation for Chinese and English versions
86a214a193bc975c137050f1e96bff5bbe67b028,docs(template): :memo: update issue template.,docs(template): update issue templates with missing docs for Chinese and English versions
e5235aab1ef3063ab526bad5861a30441072ed03,"Merge pull request #897 from hellofinch/bug-fix

update issue template",Update issue template and merge bug fix from hellofinch/bug-fix (#897)
64b4fe2220b78ae340e0da85ed3db6afaa622b60,fix(Dockerfile): update babeldoc dependency to version <0.3.0,fix(Dockerfile): update babeldoc dependency and add pdf2zh to babeldoc-cli
6faf9b42eae708ca644947979273426ead5fce73,fix(Dockerfile): add pdfminer-six dependency to installation,fix(Dockerfile): add pdfminer-six dependency to Dockerfile for babeldoc installation
9ab2db25b54a9a2a8f5fcd7025e4b23448d31a83,fix(readme): Correct typos in README.md,fix(readme): correct typos and add documentation for missing API section in README.md
886e33ddf83c4807e4dc09b623cfd2f959eb14c7,Merge pull request #952 from snowykr/fix/readme-typos,Fix README typos from pull request #952
d11ff90ad0fb2d8d7a20d60238e816f2aa5f5ccf,fix: numpy compatibility error,fix: update high_level.py to resolve numpy compatibility error
f8d0a680ef8a01c68ebb4eee9eaaf8430203dc56,fix: workaround for deeplx ssl issue,fix: add missing return in translator.py and workaround for Deeplx SSL issue
b9fa581900e6f231c51b5040b96678b777bb0e44,doc (issues) : update issue template,Update issue templates to add missing links for next steps and bug reports in Chinese and English versions
f6870239fb87aa6faf75d0a705ca788081fdd46b,doc (issue) : fix typo.,doc: update release links in functionality request and issue feedback documents (CN/EN)
a309efc35fe3286fe451f1dabc6df874c8857ab2,"Merge pull request #983 from hellofinch/template

doc (issue): redirect to new repo.","Redirect documentation to new repository, closing issue, as per pull request #983"
8b0a83895f4740dc1819153030d9fbc3540c3903,doc (issues): update template.,"Update documentation templates: add missing links, tags, options, and doc blocks to various YAML files"
808c80800c3cc7eef6057381dd1ec587dbb65047,"Merge pull request #992 from hellofinch/template

doc (issues): update template.","Update documentation template to resolve issues, merging changes from pull request #992"
f715a8705c5df1a03f477a236edc7f203e14edf4,Fix Docker Hub URL in README.md badge,Update README.md to fix Docker Hub URL and add support for `--show-recommend` flag
0f0618d3303d064d97e7adb77557b21236c6cee0,"Update dependencies, restrict the gradio version to avoid the white screen issue.","Update dependencies and restrict gradio version, add missing versions to __init__.py and pyproject.toml to resolve white screen issue."
b2601d29608a9f5be077f0f1867479e24fffdd11,"Merge pull request #1003 from PeterDaveHello/patch-1

Fix Docker Hub URL in README.md badge",Update README.md to fix Docker Hub URL in badge
4ff05587edac7ca551bfbe16ebccc61d5c4ef3ec,"Merge pull request #1019 from Elietio/main

fix ADVANCED.md ModelScope provider name to lowercase for consistency",Fix ADVANCED.md to use lowercase ModelScope provider name for consistency
